Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_LEA,Geo_SCHOOL,SE_T001_001,SE_T001_002,SE_T001_003,SE_T001_004,SE_T001_005,SE_T001_006,SE_T001_007,SE_T001_008,SE_T001_009
"01","Alabama","Alabama","00","01",,,2.50962962962963,2.51104972375691,2.50925925925926,338,181.5,216.5,675,362,432
"02","Alaska","Alaska","00","02",,,2.53513513513514,2.57142857142857,2.52525252525253,93,39,50,185,77,99
"04","Arizona","Arizona","00","04",,,2.50242954324587,2.5191637630662,2.5,515,144,300.5,1029,287,600
"05","Arkansas","Arkansas","00","05",,,2.50819672131148,2.51418439716312,2.50783699059561,244.5,141.5,160,488,282,319
"06","California","California","00","06",,,2.500693000693,2.50305882352941,2.50209683568433,2886.5,1062.77835294118,1312,5772,2125,2623
"08","Colorado","Colorado","00","08",,,2.50673575129534,2.50608272506083,2.50873362445415,483,206,229.5,965,411,458
"09","Connecticut","Connecticut","00","09",,,2.50766283524904,2.52066115702479,2.50965250965251,261.5,61,130,522,121,259
"10","Delaware","Delaware","00","10",,,2.57647058823529,2.5,2.68571428571429,43,15.5,18,85,30,35
"11","District of Columbia","District of Columbia","00","11",,,2.5327868852459,2.67647058823529,2.58666666666667,61.5,17.5,38,122,34,75
"12","Florida","Florida","00","12",,,2.50277008310249,2.50546448087432,2.50231267345051,1083.5,366.5,541,2166,732,1081
"13","Georgia","Georgia","00","13",,,2.50486223662885,2.51494252873563,2.50453720508167,617.5,218,276,1234,435,551
"15","Hawaii","Hawaii","00","15",,,2.53333333333333,2.57692307692308,2.53623188405797,98,26.5,35,195,52,69
"16","Idaho","Idaho","00","16",,,2.5,,2.62790697674419,85.5,,22,170,,43
"17","Illinois","Illinois","00","17",,,2.5,2.50569800569801,2.5,1050.5,351.433048433048,690.5,2100,702,1380
"18","Indiana","Indiana","00","18",,,2.50242483026188,2.50642673521851,2.5,516,194.982005141388,235.5,1031,389,470
"19","Iowa","Iowa","00","19",,,2.50970017636684,2.5,2.5125786163522,284,160.478125,159.5,567,320,318
"20","Kansas","Kansas","00","20",,,2.50824587706147,2.52,2.51086956521739,334,162.996923076923,184.5,667,325,368
"21","Kentucky","Kentucky","00","21",,,2.50862068965517,2.51418439716312,2.51204819277108,348.5,141.478723404255,166.5,696,282,332
"22","Louisiana","Louisiana","00","22",,,2.50542005420054,2.51282051282051,2.51351351351351,369.49864498645,156.496794871795,222.5,738,312,444
"23","Maine","Maine","00","23",,,2.52362204724409,2.55263157894737,2.57647058823529,127.5,57.5,43,254,114,85
"24","Maryland","Maryland","00","24",,,2.50644783118406,2.52898550724638,2.51757188498403,427,69.5,157,853,138,313
"25","Massachusetts","Massachusetts","00","25",,,2.50424628450106,2.51694915254237,2.50803212851406,471.5,177.5,249.5,942,354,498
"26","Michigan","Michigan","00","26",,,2.50390902629709,2.50900900900901,2.5031605562579,704,333.5,396,1407,666,791
"27","Minnesota","Minnesota","00","27",,,2.50291036088475,2.50813008130081,2.5,430,246.5,265.5,859,492,530
"28","Mississippi","Mississippi","00","28",,,2.51385390428212,2.52360515021459,2.52272727272727,199,117,132.5,397,233,264
"29","Missouri","Missouri","00","29",,,2.50240615976901,2.50596658711217,2.51171171171171,520,210,278,1039,419,555
"30","Montana","Montana","00","30",,,2.54471544715447,2.52100840336134,2.5,62,60,30.5,123,119,60
"31","Nebraska","Nebraska","00","31",,,2.50884955752212,2.52534562211982,2.52226720647773,226.5,109,124,452,217,247
"32","Nevada","Nevada","00","32",,,2.51030927835052,2.54814814814815,2.51572327044025,194.5,67.9777777777778,80,388,135,159
"33","New Hampshire","New Hampshire","00","33",,,2.52360515021459,2.53521126760563,2.53125,117,36,64.5,233,71,128
"34","New Jersey","New Jersey","00","34",,,2.50406504065041,2.51566265060241,2.50837988826816,677,208,358.5,1353,415,716
"35","New Mexico","New Mexico","00","35",,,2.51436031331593,2.52197802197802,2.53225806451613,192,91.5,93.5,383,182,186
"36","New York","New York","00","36",,,2.50227932034811,,2.50173731758165,1207,,720,2413,,1439
"37","North Carolina","North Carolina","00","37",,,2.50171115674196,2.5,2.5076071922545,731,255.5,362,1461,510,723
"38","North Dakota","North Dakota","00","38",,,2.51980198019802,2.57692307692308,2.625,101.5,26.4615384615385,16.5,202,52,32
"39","Ohio","Ohio","00","39",,,2.5035799522673,2.50717703349282,2.5,838.498806682578,418.5,525.497142857143,1676,836,1050
"40","Oklahoma","Oklahoma","00","40",,,2.50970873786408,,2.51754385964912,206.5,,114.5,412,,228
"41","Oregon","Oregon","00","41",,,2.50356633380884,2.5103734439834,2.51474530831099,351,120.995850622407,187,701,241,373
"42","Pennsylvania","Pennsylvania","00","42",,,2.50390625,2.50581395348837,2.50678733031674,768.5,344.5,442.5,1536,688,884
"44","Rhode Island","Rhode Island","00","44",,,2.53939393939394,2.59649122807018,2.61111111111111,83,29,27.5,165,57,54
"45","South Carolina","South Carolina","00","45",,,2.50863422291994,2.51801801801802,2.508038585209,319,111.5,156,637,222,311
"46","South Dakota","South Dakota","00","46",,,2.52941176470588,2.52898550724638,2.53741496598639,102.5,69.4927536231884,74,204,138,147
"47","Tennessee","Tennessee","00","47",,,2.50659898477157,2.51169590643275,2.51045296167247,493,171.5,287.5,985,342,574
"48","Texas","Texas","00","48",,,2.50056548292242,2.50135943447526,2.50188501413761,2211,920,1061.5,4421,1839,2122
"49","Utah","Utah","00","49",,,2.50757575757576,2.54471544715447,2.52325581395349,264.5,62,86.5,528,123,172
"50","Vermont","Vermont","00","50",,,2.52816901408451,2.6304347826087,2.5,71.5,23.5,40.5,142,46,80
"51","Virginia","Virginia","00","51",,,2.50362976406534,2.51681957186544,2.50593824228029,551.498185117967,164,211,1102,327,421
"53","Washington","Washington","00","53",,,2.50532859680284,2.51449275362319,2.51162790697674,563.5,207.5,258.5,1126,414,516
"54","West Virginia","West Virginia","00","54",,,2.50656167979003,2.55263157894737,2.5,191,57.5,85.5,381,114,170
"55","Wisconsin","Wisconsin","00","55",,,2.50562851782364,2.50995024875622,2.50974025974026,533.5,201.5,308.5,1066,402,616
"56","Wyoming","Wyoming","00","56",,,2.5359477124183,2.57142857142857,2.57894736842105,77,39,38.5,153,77,76
